angular_speed,complime,signal
-2.0142899,-4.3652048,1.286338
-2.0142822,-4.0394292,1.2094307
-1.3428574,-4.0237384,1.1381803
-2.0142899,-3.8291821,1.1768155
-1.3428574,-4.0149946,1.0486349
-1.3428497,-3.8158386,0.97101861
-0.6714325,-3.7062292,0.85342634
-1.3428574,-3.5554972,0.95333695
0,-3.678637,0.69447857
-0.67142487,-3.461621,0.74108231
-0.6714325,-3.6856067,0.76909566
0,-3.4417577,0.49587098
-0.6714325,-3.4376552,0.62724358
0,-3.3353469,0.41001013
-0.67142487,-3.1225169,0.47896978
0,-3.3158944,0.34276286
0,-3.1182051,0.19716769
0,-3.2036254,0.16658026
0,-3.0248024,0.046209037
0,-3.0949483,-0.024303216
0,-2.8404822,-0.1309948
0,-2.756237,-0.22202209
0,-2.6450388,-0.33427647
0.67142487,-2.5413864,-0.57135284
0,-2.4301491,-0.56604254
0,-2.3062925,-0.67048776
0,-2.1834366,-0.81603366
0,-2.058681,-0.95495969
0,-1.9021389,-1.1072608
0,-1.7858102,-1.2684691
0.6714325,-1.5135252,-1.557681
0,-1.2969316,-1.603809
1.3428574,-0.4147473,-2.0910494
1.3428574,-1.5846792,-1.9929564
